Student_number,College,Program,Section,School_year,Semester,Year_level,Average,Absents,Year,Month
2022388222,College of Engineering and Architecture,BS Architecture,A,2022,1st,1,90.96,2,2021,12
2022388222,College of Engineering and Architecture,BS Architecture,A,2022,2nd,1,96.37,0,2022,6
2022388222,College of Engineering and Architecture,BS Architecture,A,2023,1st,2,97.93,0,2022,12
2022388222,College of Engineering and Architecture,BS Architecture,A,2023,2nd,2,90.96,0,2023,6
2022388222,College of Engineering and Architecture,BS Architecture,A,2024,1st,3,86.97,0,2023,12
2022388222,College of Engineering and Architecture,BS Architecture,A,2024,2nd,3,96.82,0,2024,6
2022388222,College of Engineering and Architecture,BS Architecture,A,2025,1st,4,95.86,0,2024,12
2022388222,College of Engineering and Architecture,BS Architecture,A,2025,2nd,4,87.36,1,2025,6
2022535545,College of Engineering and Architecture,BS Architecture,A,2022,1st,1,85.15,0,2021,12
2022535545,College of Engineering and Architecture,BS Architecture,A,2022,2nd,1,90.04,0,2022,6
2022535545,College of Engineering and Architecture,BS Architecture,A,2023,1st,2,97.22,0,2022,12
2022535545,College of Engineering and Architecture,BS Architecture,A,2023,2nd,2,92.11,0,2023,6
2022535545,College of Engineering and Architecture,BS Architecture,A,2024,1st,3,96.29,0,2023,12
2022535545,College of Engineering and Architecture,BS Architecture,A,2024,2nd,3,94.14,1,2024,6
2022535545,College of Engineering and Architecture,BS Architecture,A,2025,1st,4,96.25,1,2024,12
2022535545,College of Engineering and Architecture,BS Architecture,A,2025,2nd,4,94.48,0,2025,6
2022780919,College of Engineering and Architecture,BS Architecture,A,2022,1st,1,85.64,0,2021,12
2022780919,College of Engineering and Architecture,BS Architecture,A,2022,2nd,1,91.29,0,2022,6
2022780919,College of Engineering and Architecture,BS Architecture,A,2023,1st,2,87.69,0,2022,12
2022780919,College of Engineering and Architecture,BS Architecture,A,2023,2nd,2,86.78,0,2023,6
2022780919,College of Engineering and Architecture,BS Architecture,A,2024,1st,3,96.13,0,2023,12
2022780919,College of Engineering and Architecture,BS Architecture,A,2024,2nd,3,86.85,2,2024,6
2022780919,College of Engineering and Architecture,BS Architecture,A,2025,1st,4,86.62,0,2024,12
2022780919,College of Engineering and Architecture,BS Architecture,A,2025,2nd,4,95.06,0,2025,6
2022396884,College of Engineering and Architecture,BS Architecture,A,2022,1st,1,96.67,1,2021,12
2022396884,College of Engineering and Architecture,BS Architecture,A,2022,2nd,1,91.84,1,2022,6
2022396884,College of Engineering and Architecture,BS Architecture,A,2023,1st,2,85.64,0,2022,12
2022396884,College of Engineering and Architecture,BS Architecture,A,2023,2nd,2,86.44,3,2023,6
2022396884,College of Engineering and Architecture,BS Architecture,A,2024,1st,3,93.43,0,2023,12
2022396884,College of Engineering and Architecture,BS Architecture,A,2024,2nd,3,87.35,1,2024,6
2022396884,College of Engineering and Architecture,BS Architecture,A,2025,1st,4,92.48,3,2024,12
2022396884,College of Engineering and Architecture,BS Architecture,A,2025,2nd,4,85.33,0,2025,6
2022814865,College of Engineering and Architecture,BS Architecture,A,2022,1st,1,85.94,1,2021,12
2022814865,College of Engineering and Architecture,BS Architecture,A,2022,2nd,1,88.39,0,2022,6
2022814865,College of Engineering and Architecture,BS Architecture,A,2023,1st,2,86.79,0,2022,12
2022814865,College of Engineering and Architecture,BS Architecture,A,2023,2nd,2,85.27,0,2023,6
2022814865,College of Engineering and Architecture,BS Architecture,A,2024,1st,3,97.76,1,2023,12
2022814865,College of Engineering and Architecture,BS Architecture,A,2024,2nd,3,90.01,0,2024,6
2022814865,College of Engineering and Architecture,BS Architecture,A,2025,1st,4,97.48,0,2024,12
2022814865,College of Engineering and Architecture,BS Architecture,A,2025,2nd,4,92.25,1,2025,6
2022308594,College of Engineering and Architecture,BS Architecture,A,2023,1st,1,93.99,0,2022,12
2022308594,College of Engineering and Architecture,BS Architecture,A,2023,2nd,1,86.02,0,2023,6
2022308594,College of Engineering and Architecture,BS Architecture,A,2024,1st,2,90.71,0,2023,12
2022308594,College of Engineering and Architecture,BS Architecture,A,2024,2nd,2,96.91,0,2024,6
2022308594,College of Engineering and Architecture,BS Architecture,A,2025,1st,3,91.09,2,2024,12
2022308594,College of Engineering and Architecture,BS Architecture,A,2025,2nd,3,92.97,0,2025,6
2022308594,College of Engineering and Architecture,BS Architecture,A,2026,1st,4,96.47,1,2025,12
2022640898,College of Engineering and Architecture,BS Architecture,A,2023,1st,1,86.88,0,2022,12
2022640898,College of Engineering and Architecture,BS Architecture,A,2023,2nd,1,93.23,0,2023,6
2022640898,College of Engineering and Architecture,BS Architecture,A,2024,1st,2,88.86,0,2023,12
2022640898,College of Engineering and Architecture,BS Architecture,A,2024,2nd,2,97.32,0,2024,6
2022640898,College of Engineering and Architecture,BS Architecture,A,2025,1st,3,91.58,0,2024,12
2022640898,College of Engineering and Architecture,BS Architecture,A,2025,2nd,3,86.99,0,2025,6
2022640898,College of Engineering and Architecture,BS Architecture,A,2026,1st,4,87.56,0,2025,12
2022767629,College of Engineering and Architecture,BS Architecture,A,2024,1st,1,91.88,0,2023,12
2022767629,College of Engineering and Architecture,BS Architecture,A,2024,2nd,1,89.44,0,2024,6
2022767629,College of Engineering and Architecture,BS Architecture,A,2025,1st,2,97.01,0,2024,12
2022767629,College of Engineering and Architecture,BS Architecture,A,2025,2nd,2,89.09,0,2025,6
2022767629,College of Engineering and Architecture,BS Architecture,A,2026,1st,3,89.69,0,2025,12
2022371459,College of Engineering and Architecture,BS Architecture,A,2024,1st,1,85.54,0,2023,12
2022371459,College of Engineering and Architecture,BS Architecture,A,2024,2nd,1,90.44,0,2024,6
2022371459,College of Engineering and Architecture,BS Architecture,A,2025,1st,2,98.0,0,2024,12
2022371459,College of Engineering and Architecture,BS Architecture,A,2025,2nd,2,92.81,3,2025,6
2022371459,College of Engineering and Architecture,BS Architecture,A,2026,1st,3,90.7,0,2025,12
2022477069,College of Engineering and Architecture,BS Architecture,A,2025,1st,1,91.64,0,2024,12
2022477069,College of Engineering and Architecture,BS Architecture,A,2025,2nd,1,92.88,3,2025,6
2022477069,College of Engineering and Architecture,BS Architecture,A,2026,1st,2,86.17,3,2025,12
2022784895,College of Engineering and Architecture,BS Architecture,A,2025,1st,1,91.97,0,2024,12
2022784895,College of Engineering and Architecture,BS Architecture,A,2025,2nd,1,91.01,0,2025,6
2022784895,College of Engineering and Architecture,BS Architecture,A,2026,1st,2,95.44,1,2025,12
2022941291,College of Engineering and Architecture,BS Civil Engineering,A,2022,1st,1,85.88,0,2021,12
2022941291,College of Engineering and Architecture,BS Civil Engineering,A,2022,2nd,1,95.62,0,2022,6
2022941291,College of Engineering and Architecture,BS Civil Engineering,A,2023,1st,2,93.7,0,2022,12
2022941291,College of Engineering and Architecture,BS Civil Engineering,A,2023,2nd,2,93.06,0,2023,6
2022941291,College of Engineering and Architecture,BS Civil Engineering,A,2024,1st,3,96.4,0,2023,12
2022941291,College of Engineering and Architecture,BS Civil Engineering,A,2024,2nd,3,88.36,0,2024,6
2022941291,College of Engineering and Architecture,BS Civil Engineering,A,2025,1st,4,89.87,0,2024,12
2022941291,College of Engineering and Architecture,BS Civil Engineering,A,2025,2nd,4,87.95,0,2025,6
